date,Multi_Asset,Single_Asset
2025-01-08 00:00:00+00:00,29.854408313154604,58.531938745817044
2025-01-09 00:00:00+00:00,29.852749070061773,57.36350808923616
2025-01-10 00:00:00+00:00,29.878724262902544,55.76942200188748
2025-01-11 00:00:00+00:00,29.862425215716463,57.1944135115397
2025-01-12 00:00:00+00:00,29.861244087880465,57.08750971819028
2025-01-13 00:00:00+00:00,29.86500233353143,57.02425144915173
2025-01-14 00:00:00+00:00,29.869825618324352,57.02520440836461
2025-01-15 00:00:00+00:00,29.864821962552792,58.30371973048271
2025-01-16 00:00:00+00:00,29.874705613398145,60.561074594015864
2025-01-17 00:00:00+00:00,28.708727005448022,60.39893157485504
2025-01-18 00:00:00+00:00,28.700738355350076,62.883912858309905
2025-01-19 00:00:00+00:00,28.697232971484013,62.98891318383598
